,Annualized Return,Annualized Volatility,Sharpe Ratio,Max Drawdown,Calmar Ratio
momentum_equal,-0.07830242965497902,0.23249191112968692,-0.39950461776037166,-0.8586421173789608,-0.0911933249838714
momentum_markowitz,-0.08900459333217725,0.24359900008429294,-0.42459125203669745,-0.8562648551378642,-0.10394516696337716
momentum_risk_parity,-0.08300048998364362,0.22937259738364207,-0.4251180781748607,-0.8587549749825503,-0.0966521212704825
low_volatility_equal,0.03710091192578946,0.19647739193039698,0.10629220346735872,-0.47803929647253673,0.0776105901744019
low_volatility_markowitz,0.02950001740889241,0.20263414055414453,0.06607865450144373,-0.4175161513324505,0.07065599094728862
low_volatility_risk_parity,0.033736781249004366,0.19428219627840454,0.09042768053043755,-0.47885638981601997,0.070452816264948
