Date,Price,Log_Returns,Realized_Variance
1990-01-03,358.760009765625,-0.0025888876871238797,6.702339456541631e-06
1990-01-04,355.6700134277344,-0.00865029605599334,7.482762185633393e-05
1990-01-05,352.20001220703125,-0.009804141692825745,9.612119433300407e-05
1990-01-08,353.7900085449219,0.004504310201034913,2.0288810387147175e-05
1990-01-09,349.6199951171875,-0.011856704505531489,0.00014058144173149072
1990-01-10,347.30999755859375,-0.006629090560707917,4.394484166206681e-05
1990-01-11,348.5299987792969,0.0035065603506973385,1.2295965493082642e-05
1990-01-12,339.92999267578125,-0.024984613692642398,0.0006242309213705739
1990-01-15,337.0,-0.00865676216196708,7.493953112886496e-05
1990-01-16,340.75,0.011066140224280183,0.00012245945946343187
1990-01-17,337.3999938964844,-0.009879918554624889,9.761279064602116e-05
1990-01-18,338.19000244140625,0.002338722921569845,5.469624903876191e-06
1990-01-19,339.1499938964844,0.0028345944519936137,8.034925707272975e-06
1990-01-22,330.3800048828125,-0.02619894748920321,0.0006863848495420272
1990-01-23,331.6099853515625,0.003716013541803816,1.380875664286934e-05
1990-01-24,330.260009765625,-0.004079282843833427,1.664054851999373e-05
1990-01-25,326.0799865722656,-0.012737543749252477,0.00016224502076412083
1990-01-26,325.79998779296875,-0.0008590501550187549,7.379671688377468e-07
1990-01-29,325.20001220703125,-0.001843243489425161,3.3975465613082437e-06
1990-01-30,322.9800109863281,-0.00684997939422494,4.692221770130628e-05
1990-01-31,329.0799865722656,0.01871040568044194,0.00035007928072671395
1990-02-01,328.7900085449219,-0.0008815664136559811,7.771593416862684e-07
1990-02-02,330.9200134277344,0.0064574198157493715,4.1698270676832645e-05
1990-02-05,331.8500061035156,0.002806383085365011,7.875786021822838e-06
1990-02-06,329.6600036621094,-0.006621246572370496,4.3840906172128044e-05
1990-02-07,333.75,0.012330378302502889,0.000152038229082834
1990-02-08,332.9599914550781,-0.002369872732644114,5.61629676893008e-06
1990-02-09,333.6199951171875,0.0019802691082433698,3.921465741062991e-06
1990-02-12,330.0799865722656,-0.010667597447360023,0.00011379763529892208
1990-02-13,331.0199890136719,0.0028437546803770277,8.086940682166251e-06
1990-02-14,332.010009765625,0.0029863550353747275,8.91831639730799e-06
1990-02-15,334.8900146484375,0.008637045077341018,7.459854766802072e-05
1990-02-16,332.7200012207031,-0.006500864332275141,4.2261237066647116e-05
1990-02-20,327.989990234375,-0.014318208763168343,0.00020501110218567074
1990-02-21,327.6700134277344,-0.0009760449936124241,9.526638295558771e-07
1990-02-22,325.70001220703125,-0.006030295585177108,3.636446484460652e-05
1990-02-23,324.1499938964844,-0.004770396969847892,2.2756687249933947e-05
1990-02-26,328.6700134277344,0.013847895933975497,0.00019176422179821508
1990-02-27,330.260009765625,0.004826003878661508,2.3290313436855916e-05
1990-02-28,331.8900146484375,0.004923380247003645,2.423967305658567e-05
1990-03-01,332.739990234375,0.0025577420311284496,6.542044297801087e-06
1990-03-02,335.5400085449219,0.00837982492595376,7.022146578963595e-05
