Date,garch_conditional_vol
1990-01-03,0.00010103417003393868
1990-01-04,0.0014989013087504837
1990-01-05,0.002588878894782856
1990-01-08,0.003522213192632501
1990-01-09,0.004682868068453309
1990-01-10,0.005319604596916063
1990-01-11,0.005997010685753761
1990-01-12,0.006835698849830946
1990-01-15,0.0069441771586835266
1990-01-16,0.007380572674378423
1990-01-17,0.008247529000827961
1990-01-18,0.008500133734174325
1990-01-19,0.009009449025997653
1990-01-22,0.009469924971331823
1990-01-23,0.009239068766351931
1990-01-24,0.009693937359574075
1990-01-25,0.009905509741792788
1990-01-26,0.00989633668662025
1990-01-29,0.010160104429839235
1990-01-30,0.010368624335908553
1990-01-31,0.010435087262431256
1990-02-01,0.011143595336924238
1990-02-02,0.011257149284111267
1990-02-05,0.011539100602903118
1990-02-06,0.011695316892788984
1990-02-07,0.011607813318167615
1990-02-08,0.012001107158579298
1990-02-09,0.011976159482995076
1990-02-12,0.012059504086148615
1990-02-13,0.01183719087325807
1990-02-14,0.01195856332513395
1990-02-15,0.012068911453197514
1990-02-16,0.012309585301556354
1990-02-20,0.012151129802076438
1990-02-21,0.01183843479439245
1990-02-22,0.011866334516757043
1990-02-23,0.01177188851747859
1990-02-26,0.011717961209992763
1990-02-27,0.01213880168632744
1990-02-28,0.012273560108792672
1990-03-01,0.012394603237679727
1990-03-02,0.012441997067179833
1990-03-05,0.012631226462817292
1990-03-06,0.012460040759837605
1990-03-07,0.012754972861855337
1990-03-08,0.012626888870099086
1990-03-09,0.012831070571228429
1990-03-12,0.012600879915856684
1990-03-13,0.012614367560805593
1990-03-14,0.012387089882967385
1990-03-15,0.012436083099716562
1990-03-16,0.012503309925869703
1990-03-19,0.012761583309277307
1990-03-20,0.012819109757701461
1990-03-21,0.012617447369978168
1990-03-22,0.012448075391822402
1990-03-23,0.012150014442243388
1990-03-26,0.012276411945053797
1990-03-27,0.012304930140530423
1990-03-28,0.012589726481077732
1990-03-29,0.012586724923917608
1990-03-30,0.012463724597501204
1990-04-02,0.012380234214738188
1990-04-03,0.01227942322418164
1990-04-04,0.012649999520998885
1990-04-05,0.0124290458628849
1990-04-06,0.012384150747196948
1990-04-09,0.012324200712860387
1990-04-10,0.012410602713415863
1990-04-11,0.012443495517082336
1990-04-12,0.012411742117254366
1990-04-16,0.012570378222229225
1990-04-17,0.012562294681687338
1990-04-18,0.012522682628151295
1990-04-19,0.012225236152259395
1990-04-20,0.012048422575219299
1990-04-23,0.011868555328079006
1990-04-24,0.01163508736386029
1990-04-25,0.01166080726053517
1990-04-26,0.011858385278132419
1990-04-27,0.011973077882074648
1990-04-30,0.011742574508944288
1990-05-01,0.011932349461721618
1990-05-02,0.01208050197447341
1990-05-03,0.012269580309342012
1990-05-04,0.01234924927228427
1990-05-07,0.012549315428238105
1990-05-08,0.012672293250149068
1990-05-09,0.012730723008173486
1990-05-10,0.012735911521111391
1990-05-11,0.012748255379861021
1990-05-14,0.013315894669393327
1990-05-15,0.013384799122026295
1990-05-16,0.013218735948684206
1990-05-17,0.013085460907030826
1990-05-18,0.013019629514063798
1990-05-21,0.012941002454621434
1990-05-22,0.013097676059779394
1990-05-23,0.013027281619281036
1990-05-24,0.012994765066125416
1990-05-25,0.012848619312696674
1990-05-29,0.012529930965656797
1990-05-30,0.012938761180323315
1990-05-31,0.01287233620612892
1990-06-01,0.012824688634735652
1990-06-04,0.012889836221251583
1990-06-05,0.013110033742871317
1990-06-06,0.012959135270063118
1990-06-07,0.012766878397039522
1990-06-08,0.012588865402577098
1990-06-11,0.012267163222466088
1990-06-12,0.012470317840061482
1990-06-13,0.012769851384718187
1990-06-14,0.012621381171035225
1990-06-15,0.012448666426877392
1990-06-18,0.012427575458486812
1990-06-19,0.012030193670133565
1990-06-20,0.012168403938043996
1990-06-21,0.012223156479859875
1990-06-22,0.012322227603608422
1990-06-25,0.011994090253243822
1990-06-26,0.011820891712827162
1990-06-27,0.011857305462291782
1990-06-28,0.012125280756633454
1990-06-29,0.012316602846458477
1990-07-02,0.012337233276069023
1990-07-03,0.012433356696919546
1990-07-05,0.01245550285777771
1990-07-06,0.012145120005736934
1990-07-09,0.012351731510438136
1990-07-10,0.012416835067206583
1990-07-11,0.012200860319659054
1990-07-12,0.01254652716945337
1990-07-13,0.012807379313898363
1990-07-16,0.012868925460082614
1990-07-17,0.012906729228974343
1990-07-18,0.0127373563863416
1990-07-19,0.012470410691771563
