Fold,RMSE,MAE
1,0.0003328814687801212,0.00012916288344225928
2,0.00022627454486774489,0.00011715175339471855
3,0.0007662220001315183,0.00023597044646890615
4,0.0006515893085228401,0.000173676211679027
5,0.000386085007502172,0.0001848285844986258
Average,0.0004726104659608793,0.00016815797589670733
