date,returns,turnover
2006-02-28,0.037646199891519,1.0
2006-03-31,0.0056341299791248505,0.33333333333333337
2006-04-30,-0.07603614517678373,0.2222222222222222
2006-05-31,0.06556249966932905,0.33333333333333337
2006-06-30,-0.035703644219661004,0.1111111111111111
2006-07-31,-0.1434085978624818,0.1111111111111111
2006-08-31,0.03240639540790939,0.33333333333333337
2006-09-30,-0.005773108817025115,0.2222222222222222
2006-10-31,0.015494320751438096,0.2222222222222222
2006-11-30,-0.020841827355637707,0.2222222222222222
2006-12-31,0.026592401839017114,0.44444444444444453
2007-01-31,-0.03460424315217766,0.1111111111111111
2007-02-28,0.05696514012566784,0.1111111111111111
2007-03-31,-0.03430461399774446,0.33333333333333337
2007-04-30,0.039786521117558864,0.33333333333333337
2007-05-31,-0.023803473194494162,0.4444444444444444
2007-06-30,0.013167918906932044,0.1111111111111111
2007-07-31,0.02700312528984167,0.33333333333333337
2007-08-31,0.02349477449491574,0.7777777777777777
2007-09-30,0.04706112166957786,0.33333333333333337
2007-10-31,0.0068678841893409625,0.33333333333333337
2007-11-30,0.08975947937910701,0.44444444444444453
2007-12-31,-0.10741315672997995,0.44444444444444453
2008-01-31,0.01271213457483193,0.33333333333333337
2008-02-29,0.03868626828352465,0.44444444444444453
2008-03-31,0.036096149017840105,0.1111111111111111
2008-04-30,0.04253471197557195,0.2222222222222222
2008-05-31,0.03975638752057779,0.2222222222222222
2008-06-30,-0.12479214150331647,0.1111111111111111
2008-07-31,-0.03956150971119995,0.2222222222222222
2008-08-31,0.009549827644190888,0.6666666666666667
2008-09-30,0.1333842860269057,0.2222222222222222
2008-10-31,0.06467941185067543,0.33333333333333337
2008-11-30,-0.007568423431449821,0.44444444444444453
2008-12-31,0.07958988225357025,0.33333333333333337
2009-01-31,0.05994974546610149,0.2222222222222222
2009-02-28,-0.2870231006951019,0.44444444444444453
2009-03-31,-0.5002111076178526,0.44444444444444453
2009-04-30,-0.10949757599325523,0.33333333333333337
2009-05-31,0.09445763370179693,0.33333333333333337
2009-06-30,-0.08733080279346929,0.2222222222222222
2009-07-31,-0.11031526304588445,0.2222222222222222
2009-08-31,-0.03874487746956857,0.33333333333333337
2009-09-30,0.006814496510963828,0.2222222222222222
2009-10-31,0.018271490854355147,0.5555555555555557
2009-11-30,0.05887285266244012,0.44444444444444453
2009-12-31,-0.062508038170492,0.33333333333333337
2010-01-31,0.049730507957905505,0.1111111111111111
2010-02-28,0.039941667156595154,0.44444444444444453
2010-03-31,0.07201682477535168,0.2222222222222222
2010-04-30,-0.03945402974102743,0.1111111111111111
