Date,^IRX
2005-01-31,0.002018333276112874
2005-02-28,0.0022416667143503825
2005-03-31,0.0022683332363764444
2005-04-30,0.0023641665776570637
2005-05-31,0.0024016666412353515
2005-06-30,0.0025499999523162843
2005-07-31,0.0027766666809717813
2005-08-31,0.0028583333889643354
2005-09-30,0.0028916666905085247
2005-10-31,0.0031708333889643348
2005-11-30,0.003214166760444641
2005-12-31,0.003320833245913188
2006-01-31,0.003641666571299235
2006-02-28,0.003755833307902018
2006-03-31,0.0037624998887379967
2006-04-30,0.00387500007947286
2006-05-31,0.003929166793823242
2006-06-30,0.004050000111262004
2006-07-31,0.004112499952316284
2006-08-31,0.0040875001748402915
2006-09-30,0.00396666685740153
2006-10-31,0.004116666714350382
2006-11-30,0.0040749998887379965
2006-12-31,0.004070833524068197
2007-01-31,0.004145833253860473
2007-02-28,0.004162499904632569
2007-03-31,0.004079166650772095
2007-04-30,0.00393749992052714
2007-05-31,0.0038250001271565755
2007-06-30,0.0038916667302449546
2007-07-31,0.004008333285649617
2007-08-31,0.0033250000079472863
2007-09-30,0.003083333373069763
2007-10-31,0.0031833332777023316
2007-11-30,0.0025583332777023315
2007-12-31,0.0026166667540868122
2008-01-31,0.0015583333373069763
2008-02-29,0.0014874999721844991
2008-03-31,0.0010624999801317851
2008-04-30,0.0011166666944821676
2008-05-31,0.0015416666865348816
2008-06-30,0.00142083336909612
2008-07-31,0.001362499992052714
2008-08-31,0.0014083333810170492
2008-09-30,0.0007499999801317851
2008-10-31,0.0003625000019868215
2008-11-30,1.6666666294137637e-05
2008-12-31,9.583333507180215e-05
2009-01-31,0.00018333333233992258
2009-02-28,0.00020833333333333335
2009-03-31,0.00016666666915019355
2009-04-30,0.00010416666666666667
2009-05-31,0.00010833332935969035
2009-06-30,0.00015000000596046448
2009-07-31,0.00014583333084980645
2009-08-31,0.00010833332935969035
2009-09-30,9.583333507180215e-05
2009-10-31,3.750000149011612e-05
2009-11-30,4.166666728754839e-05
2009-12-31,4.166666728754839e-05
2010-01-31,5.833333358168602e-05
2010-02-28,9.583333507180215e-05
2010-03-31,0.00012500000496705373
2010-04-30,0.00012916666766007743
2010-05-31,0.00012500000496705373
2010-06-30,0.00014166666815678279
2010-07-31,0.00011666666716337204
2010-08-31,0.00011250000447034836
2010-09-30,0.00012916666766007743
2010-10-31,9.166666616996129e-05
2010-11-30,0.0001333333303531011
2010-12-31,9.583333507180215e-05
2011-01-31,0.00012083332985639572
2011-02-28,0.00011250000447034836
2011-03-31,7.500000298023224e-05
2011-04-30,3.3333332588275274e-05
2011-05-31,3.3333332588275274e-05
2011-06-30,1.2499999720603227e-05
2011-07-31,7.500000298023224e-05
2011-08-31,1.2499999720603227e-05
2011-09-30,8.333333147068818e-06
2011-10-31,4.166666573534409e-06
2011-11-30,1.2499999720603227e-05
2011-12-31,4.166666573534409e-06
2012-01-31,4.5833333084980645e-05
2012-02-29,6.250000248352687e-05
2012-03-31,5.416666467984518e-05
2012-04-30,7.500000298023224e-05
2012-05-31,4.999999888241291e-05
2012-06-30,6.666666517655055e-05
2012-07-31,8.333333457509678e-05
2012-08-31,7.083333407839139e-05
2012-09-30,7.500000298023224e-05
2012-10-31,8.749999726812044e-05
2012-11-30,6.250000248352687e-05
2012-12-31,2.916666679084301e-05
2013-01-31,5.416666467984518e-05
2013-02-28,8.333333457509678e-05
2013-03-31,5.416666467984518e-05
2013-04-30,3.750000149011612e-05
2013-05-31,2.4999999441206454e-05
2013-06-30,2.4999999441206454e-05
2013-07-31,2.4999999441206454e-05
2013-08-31,1.6666666294137637e-05
2013-09-30,4.166666573534409e-06
2013-10-31,2.7499999850988386e-05
2013-11-30,4.5833333084980645e-05
2013-12-31,5.250000084439913e-05
2014-01-31,8.333333147068818e-06
2014-02-28,3.58333345502615e-05
2014-03-31,2.3333334053556123e-05
2014-04-30,1.6666666294137637e-05
2014-05-31,2.4999999441206454e-05
2014-06-30,1.6666666294137637e-05
2014-07-31,1.4999999354283014e-05
2014-08-31,1.4999999354283014e-05
2014-09-30,1.0833333556850751e-05
2014-10-31,2.50000002173086e-06
2014-11-30,4.166666573534409e-06
2014-12-31,3.083333373069763e-05
2015-01-31,4.166666573534409e-06
2015-02-28,6.6666669833163425e-06
2015-03-31,2.0833333643774194e-05
2015-04-30,4.166666573534409e-06
2015-05-31,2.50000002173086e-06
2015-06-30,8.333333147068818e-06
2015-07-31,4.8333331942558286e-05
2015-08-31,2.50000002173086e-06
2015-09-30,4.166666573534409e-06
2015-10-31,5.6666669746239976e-05
2015-11-30,0.00014166666815678279
2015-12-31,0.00012333333492279053
2016-01-31,0.00025000000993410747
2016-02-29,0.0002566666652758916
2016-03-31,0.00016083333641290666
2016-04-30,0.00016083333641290666
2016-05-31,0.00023583332697550455
2016-06-30,0.00020666666328907014
2016-07-31,0.00019999999552965163
2016-08-31,0.0002666666607062022
2016-09-30,0.0002166666587193807
2016-10-31,0.00024583332240581514
2016-11-30,0.0003899999956289927
2016-12-31,0.00039999999105930326
2017-01-31,0.0004166666666666667
2017-02-28,0.0004358333349227905
2017-03-31,0.0006149999797344208
2017-04-30,0.0006499999761581421
2017-05-31,0.0007916666567325592
2017-06-30,0.0008274999757607778
2017-07-31,0.0008774999777475993
2017-08-31,0.0008149999876817068
2017-09-30,0.0008566666642824809
2017-10-31,0.0009358333547910056
2017-11-30,0.0010316666960716247
2017-12-31,0.0011291666825612387
2018-01-31,0.0011916666229565937
2018-02-28,0.0013483333587646484
2018-03-31,0.0013916666309038799
2018-04-30,0.00146916667620341
2018-05-31,0.0015583333373069763
2018-06-30,0.0015666666626930235
2018-07-31,0.0016541666785875955
2018-08-31,0.0017125000556310018
2018-09-30,0.0017916667461395262
2018-10-31,0.0018983334302902222
2018-11-30,0.001923333406448364
2018-12-31,0.001916666626930237
2019-01-31,0.0019499999284744265
2019-02-28,0.001985833247502645
2019-03-31,0.001940000057220459
2019-04-30,0.0019733333587646485
