Date,AAPL,ABT,ACN,ADP,AFL,ALL,AME,AMGN,APD,AXP,BA,BAC,BAX,BDX,BEN,BLK,BSX,C,CAT,CB,CL,CMCSA,COST,CPB,CSCO,CVX,DHR,DOV,ECL,EL,EMN,EMR,ETN,EW,F,FIS,GE,GIS,GS,HD,HOLX,HON,HSY,IBM,IDXX,IFF,INTC,ITW,JNJ,JPM,KO,LIN,LOW,MCD,MDLZ,MET,MKC,MMM,MRK,MS,MSFT,NEE,NTRS,NUE,PAYX,PEP,PFE,PG,PGR,PH,PKG,PPG,PRU,QCOM,RMD,ROK,SBUX,SHW,STT,SYK,SYY,T,TGT,TMO,TROW,TRV,TXN,UNH,UPS,USB,VZ,WFC,WMT,WY,XOM,ZBH
2005-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-07-31,0.13306042215169406,0.03574302459079272,0.07807909597745405,0.04128891350445856,0.04568977223749431,0.017703457559072443,0.05389570163593211,0.1395759385736693,0.044801521448578616,0.030787546080407034,0.03588149584842504,0.03189497999211726,0.05110130735855625,0.05305349788358054,0.026336572509431434,0.038457429837889925,0.06446396112387826,0.04074137312324094,0.06760959218267876,0.041442787076288394,0.035369255168169626,0.03509603809523406,0.07018455236667076,0.03888603378864285,0.0597094614654546,0.09033652574626388,0.05825682087861694,0.06682663269200671,0.03748011325098565,0.06325884051122051,0.0676004362785576,0.04926566184400122,0.0697702961005182,0.04528142254268066,0.10673533712335154,0.052853610211823034,0.023931425074738808,0.0333622786655535,0.05244255597359788,0.08265323102633376,0.09528087713436996,0.04366180283810082,0.048294137071848084,0.09154906827021193,0.04546809316070507,0.03215477212317193,0.07007164212441434,0.05206015259665327,0.024170574448430415,0.03017753576531875,0.04208579126595842,0.03762157272639384,0.08192385091218986,0.08507567797877648,0.013894323374150065,0.07062261612552272,0.05402112090454746,0.054915850207896785,0.06423382192686417,0.05680240597505413,0.04035269782875139,0.016566214267757225,0.049459968824285695,0.1381296846660446,0.07472716629693618,0.028470696006670272,0.047192849076104014,0.03470005563875989,0.02403672468416615,0.04540962773430098,0.05861768191289479,0.042933759276764225,0.040891127996220286,0.10819133059860117,0.06967592681549792,0.11896584082372594,0.06033055924285319,0.023730132730772367,0.02845332711357754,0.08418896958298197,0.042432351612044145,0.024714142629273284,0.08078453580085698,0.0760659465999312,0.05860841464958595,0.055974471691087234,0.07954159014535638,0.02967673544894546,0.053012759068551685,0.03159750595836193,0.016368874858810036,0.015585216306821532,0.03165379847906587,0.054431533992515824,0.10585978799254532,0.07565797983316715
2005-08-31,0.1209810609947166,0.03838885335707187,0.07836872828269452,0.044601447634460195,0.04857843295764464,0.04472345311618824,0.05590656085758693,0.13865622361945049,0.04397309569279897,0.030488627203514924,0.029721621511878037,0.03144398970240161,0.049055353277247624,0.04705690068440854,0.031041135850985335,0.0376637237508131,0.06747872926267917,0.04150051228778797,0.0658764027852812,0.045787137172934596,0.035622416462787215,0.034530247078041365,0.07335916030820758,0.03611843822867004,0.06887928833524427,0.07016577057656603,0.06004081917256239,0.06762047674005082,0.02696023278112183,0.06680213836376668,0.08124213131577727,0.050439931608196424,0.06788082986601811,0.047331359614288616,0.10839586477191702,0.05211588930044557,0.024784356066408917,0.033476407057008245,0.054181971579934964,0.08836543633856396,0.09523762875595694,0.039874867720048696,0.04785674075565925,0.09171547354023318,0.03446340484288649,0.034801259853603675,0.07467851814759638,0.04975747951640427,0.0224194194349781,0.032120310860974555,0.04097183016799326,0.04107567083716609,0.08510529156147041,0.08659204109457894,0.01855452156213284,0.07265360045069744,0.05213101085416728,0.05535844960399297,0.04929976796284845,0.05784644526578412,0.04534800405773367,0.0162977052511311,0.046508590926076246,0.12926605487593945,0.07624144874243789,0.028466487234982775,0.03148170368531534,0.034704791604070494,0.03405477853804161,0.04573083321079432,0.030812560063391913,0.03183016875396842,0.04917922166610527,0.10610855558188861,0.05323416961205654,0.10799305697293732,0.06444054276298337,0.027633845204480728,0.03049607293250364,0.08423489675194518,0.05395633607525829,0.02686178258222418,0.0928806180200759,0.07247224940147755,0.06503707183788837,0.06013263160093025,0.06821810211397851,0.03460022425493106,0.04894430718138854,0.033945701090478016,0.021965787784940575,0.01426311214338939,0.045040849618379245,0.052026151409457384,0.036615272278957764,0.0648162667487617
2005-09-30,0.12266273914923932,0.04432861585065773,0.07614243686155195,0.0384183077490165,0.04246373544833838,0.04610006535241356,0.05872940714482146,0.13212214844507167,0.04209248135578612,0.01848004708305945,0.027092180503165728,0.02689459758177737,0.04044851682564512,0.047645815233939015,0.02983350293969543,0.039255396531676374,0.0740292799745228,0.03807768561389622,0.057347858474612164,0.036552634180731985,0.03483723442552723,0.026889360754599637,0.07032470050694667,0.031848044978937444,0.06832762859234855,0.06476833292703227,0.059692020829068874,0.06581095361373081,0.02338649746660944,0.0807294247540971,0.07736712669314832,0.05390331219790541,0.06305835795865529,0.047368757605868374,0.10220696752619488,0.08453879454444244,0.021434074625722173,0.03491435036566746,0.0651736680853904,0.0897850890871561,0.06014930915726675,0.03991830815517337,0.04882241860985622,0.09186759890361464,0.02645048478845602,0.03371660689177206,0.07601472903738268,0.049699692681663916,0.01815027202266345,0.023588772414577432,0.04002942318331329,0.030113460848775954,0.08262471302523675,0.08212887720045323,0.018554263781104086,0.06265454096458306,0.04053947280033238,0.057141706851292925,0.044433264605509566,0.06502971100345196,0.05092183956233664,0.03900161941597033,0.04672210306466594,0.12676291941837892,0.08183147288953971,0.03009565313090984,0.03224604955588554,0.04209054370480621,0.042750032732083484,0.029325921619791806,0.03245445185795326,0.034867551847454846,0.049747397768651565,0.11430266216960315,0.041691614988737746,0.1035746547995947,0.06557123479667332,0.03663838001154214,0.029417512084342158,0.08202813053071258,0.0526461830776246,0.025432693259170934,0.09430211457058327,0.06925517489752457,0.06341276443872772,0.05308782947862257,0.05785073176123454,0.044552799379047825,0.04360658159934327,0.0351109605347322,0.02239702961819293,0.016424525747051926,0.04502014723069446,0.05686400553273036,0.03535828410919809,0.08572277064513342
2005-10-31,0.08342168627242486,0.03281424982731359,0.05265926845583939,0.04957958926972967,0.03473966626857938,0.04707237710206941,0.057058491207181844,0.13821978920690692,0.03880817824237163,0.021003341155380405,0.04142856942801928,0.030866707063821875,0.03420238279012209,0.04715004248264555,0.024976019905738025,0.03890507096730236,0.08567488669025837,0.02987674939366563,0.07872782305509686,0.04994769896306331,0.027190689675996128,0.027665961069539672,0.0734053144316081,0.030370085589519792,0.06750089087056281,0.06884742457167015,0.056495914672088865,0.06692423969331618,0.028267998844879922,0.06252218895596644,0.09387528365323353,0.05320922751031976,0.05420424289573312,0.05513870436981529,0.08868391314062385,0.09087965942249127,0.021862847224062017,0.034910233898918556,0.06134402220257545,0.0843161912763944,0.08381572161873194,0.05322651489178059,0.03866905105829533,0.05706026865260927,0.026537050511377926,0.040928495269045025,0.07987292253040776,0.04442532333546883,0.010779509807871073,0.04265251217644962,0.03677576366016789,0.029567097652885975,0.0749650997858979,0.08171435740905947,0.032514227711131036,0.06317348127654906,0.04643023463931994,0.04241316608798582,0.041278263523361725,0.05535607096988138,0.04817677546707501,0.06567832939129939,0.04858346228578637,0.11141942585371382,0.06949915084920102,0.028424812497886042,0.05374266182781668,0.05183670726527676,0.05105941018062103,0.031194620735089773,0.036545042127244715,0.0353993675878029,0.0501356121262905,0.12644446756821612,0.05302463876516068,0.056345965865796786,0.08088246125844586,0.03892848265275635,0.05267977462227327,0.10362547185528707,0.054630610176912626,0.024624716842818632,0.08718568323923324,0.07086575188031248,0.047667381046538476,0.04729907392744201,0.10161204655897238,0.04062719065165507,0.049291234971083564,0.03700624113112836,0.0173820263287289,0.020202043932216276,0.055424992506937866,0.0663160941474834,0.06157051608195722,0.08199721479042066
